lemma,part_of_speech,translation,relations
agaasendan,transitive inanimate verb,"think little of it, think it insignificant Paired with:agaasenim","agaasenim, agaasendan, agaasendaagwad, agaasendaagozi"
dibaabam,transitive animate verb,"inspect, check up on h/ or it (animate), look h/ or it (animate) over Paired with:dibaabandan","dibaabandan, dibaabam, waawaabam, waawaabandan"
gagaanzitaw,transitive animate verb,act contrary to h/ instructions Paired with:gagaanzitan,gagaanzitan
babiinitam,class 2 animate intransitive verb,"s/he doesn't listen, doesn't follow instructions, disregards or disobers instructions",
gidochigan,inanimate noun,"a device that speaks: a radio, a phonograph, a record player, a cd player","noondaagochigan, noondaagochigan"
miziweyaa,inanimate intransitive verb,"it is whole, is intact Paired with:miziwezi",miziwezi
,,,
gikendaaso,animate intransitive verb,"s/he is knows, is smart, is intelligent, is educated",
aakwendam,class 2 animate intransitive verb,"s/he has intense feelings, is in intense pain",
mazhi,transitive animate verb,have sexual intercourse with h/,
ombim,transitive animate verb,get h/ interested or excited by speech,
aanikanootan,transitive inanimate verb,"translate, interpret it Paired with:aanikanootaw","aanikanootaw, aanikanootan"
aanikanootaagewinini,animate noun,"a speaker (for others), a translator, an interpreter (male)",
wanishkwe',transitive animate verb,"disturb, distract, interrupt h/",
ninagizh,dependent inanimate noun,"my intestine, gut",
zegim,transitive animate verb,"scare, frighten, intimidate, alarm h/ (verbally)",
jiikaakizige,animate intransitive verb,"s/he is intoxicated, is high",
zhaagwenimowin,inanimate noun,"reluctance, introversion",
zhaagwenimo,animate intransitive verb,"s/he is reluctant, is afraid to do something, is introverted, lacks self confidence",
wiikom,transitive animate verb,invite h/ to a feast (especially as part of a religious ceremony) See also:wiikwam,wiikwam
dazhiikan,transitive inanimate verb,"work at it or on it; be involved, occupied, engaged with it Paired with:dazhiikaw","dazhiikaw, dazhiikan"
onzaamigidaazo,animate intransitive verb,"s/he is extremely angry, is irate, is furious",
biiwaabik,inanimate noun,(a piece of) metal; iron,
zhooshkwega'igan,inanimate noun,an iron See also:na,"zhooshkwega'igan, zhooshkwega'igan"
zhooshkwega'an,transitive inanimate verb,iron it Paired with:zhooshkwega',"zhooshkwega', zhooshkwega'an"
biiwaabiko-moona'igan,inanimate noun,an iron mine,
Biiwaabikokaaning,place name,the Iron Range of Minnesota,
zhooshkwega'iganaatig,inanimate noun,an irong board,
maananoons,animate noun,an ironwood,gagaanjinawe'
gagaanjinawe',transitive animate verb,"irritate, provoke, tease h/",
ayaa,inanimate intransitive verb,it is (in a certain place) it is in a certain state or condition it moves a certain way Paired with:,"ayaa, ayaa, aawi, aawan"
minis,inanimate noun,an island See also:i,minisi
gizhiibizi,animate intransitive verb,s/he itches,"gizhiibaawigan, gizhiibidaamikane, gizhiibidaamikan, gizhiibidooskwane, gizhiibidooskwan"
jaka'an,transitive inanimate verb,"poke, jab, tap, nudge it (using something) Paired with:jaka'",jaka'
zhimaaganish,animate noun,a soldiera jack (card),
ombaakwa'igan,animate noun,a jack,
akikaandag,animate noun,a jack pine See also:okikaandag,"okikaandag, okikaandag, akikaandag, akikaandag"
okikaandagwanagek,animate noun,jack pine bark,
okikaandagwaandag,animate noun,a jack pine bough,
misaabooz,animate noun,a jack rabbit,ombaakwa'an
ombaakwa'an,transitive inanimate verb,"raise it (as or as with something stick- or wood-like), pry it up, jack it up Paired with:ombaakwa'","ombaakwa', ombaakwa'an"
babiinzikawaagan,inanimate noun,"a coat, a jacket See also:biinzikawaagan","biinzikawaagan, babiinzikawaagan, biichibiinzikawaagane, biichibabiinzikawaagane"
waaswaa,animate intransitive verb,"s/he shines (for game or fish), jacklights",
bakinaagewin,inanimate noun,"winngs, jackpot",
gibaakwa'odiiwigamig,inanimate noun,"a jail, a prison",
gibaakwa',transitive animate verb,"shut, block h/ (as or as with something stick- or wood-like)jail, imprison h/put h/ on lockdown or quarantine Paired with:an",gibaakwa'an
baashkiminasigan,inanimate noun,jam; preserves,
biinichigewikwe,animate noun,a cleaner (female); a janitor (female),
aabita-bibooni-giizis,animate noun,January,
indaamikan,dependent inanimate noun,my chin; my jaw,
diindiisi,animate noun,a blue jay,"gwiingwiishi, gwiingwiishi, gaawam"
gaawam,transitive animate verb,be jealous of h/,
asasawemini-baashkiminasigan,inanimate noun,"chokecherry sauce, chokecherry jelly",
mimigoshkam,class 2 animate intransitive verb,"s/he threshes, jigs something (e.g., wild rice) Paired with:mamigoshkam","mamigoshkam, mamigoshkan"
zhiibaashka'igan,inanimate noun,a jingle,
zaangwewe-magooday,inanimate noun,a jingle dress,
anokiiwin,inanimate noun,"work, a job","andawanokii, nandawanokii"
,,,
aanikooshim,transitive animate verb,lay h/ joining something else Paired with:aanikoosidoon,"aanikoosidoon, aanikooshim, aanikoosin, aanikooshin"
midewi,animate intransitive verb,"s/he is a Mide, is a member of the Midewiwin",
bikwaakoganaan,inanimate noun,an ankle or wrist joint,
minawaanigozi,animate intransitive verb,"s/he is happy, is joyous, is glad, has a good time Paired with:minawaanigwad",minawaanigwad
dibaakonigewinini,animate noun,"a judge, a lawyer",
dibaakon,transitive animate verb,judge h/ Paired with:an,"dibaakonan, dibaakon, inaakon"
inaakonige,animate intransitive verb,s/he agrees on something; s/he decides things a certain way; s/he makes a certain judgement,
mishiiminaaboo,inanimate noun,"apple juice, cider See also:mishiiminaabo",mishiiminaabo
aabita-niibino-giizis,animate noun,July,
gwaashkwani,animate intransitive verb,s/he jumps See also:gwaashkoni,"gwaashkoni, gwaashkwanodaw, gwaashkwanodan, ikogwaashkoni, baazhijigwaashkwanodaw, baazhijigwaashkwanodan"
ode'imini-giizis,animate noun,June,
gozigwaakomin,animate noun,a serviceberry,"ozigwaakomin, gozigwaakominagaawanzh, ozigwaakominaganzh, gaagaagiwaandag"
gaagaagiwaandag,animate noun,a juniper bush,"gaagaagiwaandagomin, wiineta"
wiineta,personal pronoun,"only she, only her; only he, only him; just him. just her",
ganawenim,transitive animate verb,"take care of, protect, keep an eye on, keep h/ Paired with:ganawendan","ganawendan, ganawenim, ganawendaagwad, ganawendaagozi, minjimenim, minjimendan"
animoshigamig,inanimate noun,"a dog house, a kennel See also:amoshiwigamig","animoshiwigamig, animoshigamig"
mandaamin,animate noun,"corn, a kernel of corn",
waazakonenjiganaaboo,inanimate noun,"kerosene, diesel fuel",
akik,animate noun,"a container, usually of metal, for cooking or for holding liquids: a kettle, a pot, a pan, a pail, a bucketan engine, a motor","boodaakwese, boodaakwese, boodaakwese, boodaakwese, nitiiwakik, boodaakwewebin, boodaakwewebinan"
agoodakikwaan,inanimate noun,a kettle hanger,
aabaabika'igan,inanimate noun,a key,
basikawaadan,transitive inanimate verb,kick it Paired with:basikawaazh,"basikawaazh, basikawaadan, dangishkaw, dangishkan, izhiwebishkaw, izhiwebishkan, azhewebishkaw, azhewebishkan, ishpiwebishkaw, ishpiwebishkan, biindigewebishkaw, biindigewebishkan, gabaawebishkaw, gabaawebishkan, bakewebishkaw, bakewebishkan, zaagijiwebishkaw, zaagijiwebishkan, ikowebishkaw, ikowebishkan, gawiwebishkaw, gawiwebishkan, zhaabowebishkaw, zhaabowebishkan"
indoodikosiw,dependent animate noun,my kidney,
odoodikosiwaapine,animate intransitive verb,s/he has a kidney disease,
nishi,transitive animate verb,"kill h/; get or catch it (animate; an animal, fish, bird) for use Paired with:nitoon","nitoon, nishi"
nishiwe,animate intransitive verb,"s/he kills, commits murder",
nitaagewin,inanimate noun,"killing, murder",
anooj,quantitative adverb,"all kinds; various; carelessly, abusively",
gizhewaadizi,animate intransitive verb,"s/he is kind, is generous",
zhawenjige,animate intransitive verb,"s/he is merciful, is kind-hearted, has pity",
biisiga'isaan,inanimate noun,kindling wood,
zhawenjigewin,inanimate noun,"a blessing, mercy, kindness",
ogimaa,animate noun,"a leader (male): a boss, a chief, a kinga king (card)",
ogimaa,animate noun,"a leader (male): a boss, a chief, a kinga king (card)",
wiindigoo-bineshiinh,animate noun,a kingbird,ogiishkimanisii
ogiishkimanisii,animate noun,a kingfisher See also:ogashkimanisii,"ogashkimanisii, ogashkimanisii, ogiishkimanisii, ogiishkimanisii"
apaakozigan,inanimate noun,kinkinck (tobacco and bark smoking mixture) See also:na,"apaakozigan, apaakozigan"
ojiim,transitive animate verb,kiss h/,ojiim
jiibaakwewigamig,inanimate noun,a kitchen; a cook shack,
maamaagon,transitive animate verb,knead it (animate); press on it (animate) repeatedly Paired with:an,"maamaagonan, maamaagon, onadinan, onadin"
ingidig,dependent animate noun,my knee,"ningidig, ingidig, ingidig, eyiidawigidig, eyedawigidig"
ojijiingwanabi,animate intransitive verb,s/he kneels,
mookomaan,inanimate noun,a kfe,"bakonigewi-mookomaan, bakonige-mookomaan"
mookomaanaabik,inanimate noun,a kfe blade,
mookomaanaatig,inanimate noun,a kfe handle,
biindikomaan,inanimate noun,a kfe sheath or case,
baapaagaakwa',transitive animate verb,knock on h/ (as something stick- or wood like) Paired with:an,"baapaagaakwa'an, baapaagaakwa'"
diitiba'an,transitive inanimate verb,knock it down off something (using something) Paired with:diitiba',"diitiba', diitiba'an, diitibibizh, diitibibidoon, diitibishkaw, diitibishkan, biniweba', biniweba'an, biniweba'wi, binibizh, binibidoon, gawiwebishkaw, gawiwebishkan, gawaganaandan, gawaganaam"
bawa'iganaak,animate noun,a knocker: a stick used to knock rice grains off the wild rice stalks See also:ni,"bawa'iganaak, bawa'iganaak, bawa'iganaak"
bikwadinaa,inanimate intransitive verb,"it is a knoll, is a hill",
gashka'oodoon,class 2 transitive inanimate verb,tie it with a knot; lace and tie it Paired with:gashka'oozh,"gashka'oozh, gashka'oodoon, gashka'oozo, gashka'oode"
gikendam,class 2 animate intransitive verb,s/he knows,"gikenim, gikendaagwad, gikendaagozi, nanda-gikenim, nanda-gikendan"
amanj,dubitative adverb,"I don't know how, I wonder how See also:n","namanj, amanj, namanj, amanj, wegodogwen, awegodogwen, namanj apii, amanj apii, nagajitoon, nagaji'"
gikendamowin,inanimate noun,knowledge,
gikendaagwad,inanimate intransitive verb,"it is known (by someone), ""they"" know it Paired with:gikendaagozi","gikendaagozi, gikendaagwad"
waazhaabii,animate intransitive verb,s/he cuts out lacing,
baaga'adowewin,inanimate noun,"the game of lacrosse, playing lacrosse",
baaga'adowewinini,animate noun,a lacrosse player,
baaga'adowaan,inanimate noun,a lacrosse stick,
akwaandawaagan,inanimate noun,"something to climb up on or in: a stairway, a ladder, an elevator",
emikwaan,inanimate noun,a ladle; a spoon,"mitigo-emikwaan, mitigwemikwaan"
ikwe,animate noun,"a woman, a ladya queen (card)",
waazh,inanimate noun,"a den, a lair, a cave, a burrow See also:waanzh","waanzh, waazh"
zaaga'igan,inanimate noun,a lake,naanaawagaam
,,,
gichigami,inanimate noun,"a sea, a large lakeLake Superior",
namegos,animate noun,a lake trout,namegosikaa
maanishtaanishi-wiiyaas,inanimate noun,lamb ,
maanishtaanishens,animate noun,a lamb,
maakigaade,animate intransitive verb,s/he has a lame leg,
waasamoo-waazakonenjigan,inanimate noun,an electric lamp,
zhimaagan,inanimate noun,"a spear, a lance",
aki,inanimate noun,"earth, land, grounda country, a territorymoss",
agwaa'o,animate intransitive verb,"s/he lands, comes ashore in a boat","booniimagad, boonii"
inwewin,inanimate noun,"a way of speaking, a language, a dialect","anishinaabemotaw, anishinaabemotaw"
injiingwan,dependent animate noun,my lap; my (front of) thigh,
bimide,inanimate noun,"grease, oil, lard",gookooshiwi-bimide
ashigan,animate noun,"a fish of the sunfish family; locally applied to rock bass, crappie, and largemouth bass in NW Ontario",
dagwaagong,temporal adverb,"last fall, last autumn",
ishkwaaj,temporal adverb,last,
ishkwenikaazo,animate intransitive verb,s/he has a last name,
aabitawaasige,animate intransitive verb,there is a first-quarter or last-quarter moon,
ishpi-dibik,temporal adverb,late at night,
wiikaa,temporal adverb,late; ever; seldom,
baamaa,temporal adverb,"later, after a while, eventually See also:baanimaa","baanimaa, baanimaa apii, baamaa, baamaapii"
baapi,animate intransitive verb,s/he laughs,"baapitoon, baapi'"
waasamoo-jiimaan,inanimate noun,a motor launch,
giziibiiga'amaw,transitive animate verb,"wash (it) for h/, launder for h/",
giziibiiga'igewigamig,inanimate noun,"a laundry room, a laundromat",
giziibiiga'igewin,inanimate noun,(item of) laundry; (item of) washing,
giziibiiga'igewigamig,inanimate noun,"a laundry room, a laundromat",
inaakonigewin,inanimate noun,"a law, a ruling, an agreement",
dibaakonigewikwe,animate noun,"a judge, a lawyer (female)",
mizay,animate noun,"a ling, an eelpout, a burbot, a mariah, a lawyer (fish)",zhaabozigan
zhaabozigan,inanimate noun,a laxative,
izhishim,transitive animate verb,"put, lay, set h/ a certain way Paired with:izhisidoon","izhisidoon, izhishim, aazhawaakosidoon, aazhawaakoshim, giiwitaasidoon, giiwitaashim, animikosidoon, animikoshim, aazhigijisidoon, aazhigijishim, biidaasamishim, biidaasamisidoon, aanikoosidoon, aanikooshim, opimesidoon, opimeshim, aazhigijisidoon, aazhigijishim, zhingadesidoon, zhingadeshim, gwayakosidoon, gwayakoshim"
biitoo-,lexical preverb,as a layer,"biitoosin, biitooshin, bibagisin, bibagishin, gipagisin, gipagishin"
gitimi,animate intransitive verb,"s/he is lazy, is shiftless, is incompetent",
gitimishki,animate intransitive verb,"s/he is habitually lazy, is a lazybones",
ashkikomaan,inanimate noun,lead (metal),
niigaanii,animate intransitive verb,"s/he leads, goes ahead",
niigaaniwizh,transitive animate verb,lead h/,
ogimaa,animate noun,"a leader (male): a boss, a chief, a kinga king (card)",
ogimaawiwin,inanimate noun,government; authority; leadership,
niigaan,locational adverb,"ahead, at the front, leading; in the future",
aniibiish,inanimate noun,a leaftea,"mamaangibagizi, mamaangibagaa, miskobagizi, miskobagad"
onjigaa,inanimate intransitive verb,"it leaks, drips, runs with sap Paired with:","onjigaa, gizhiigaa, maajigaa"
aaswaakogaabawi,animate intransitive verb,"s/he stands leaning against something (a wall, a tree)","aatwaakosidoon, aatwaakosin, aatwaakoshim, aatwaakoshin"
nanda-gikendan,transitive inanimate verb,"seek to know it, seek to learn it Paired with:nanda-gikenim",nanda-gikenim
gikinawaabam,transitive animate verb,learn by observation of h/; imitate h/,
ganage,manner adverb,"in the least, by any means See also:gaawiin ;gego",gaawiin ganage
bashkwegin,inanimate noun,hide; leather,
ashishawe-zhaabonigan,inanimate noun,a leather needle; a glovers needle See also:ashashawe-zhaabogan,"ashashawe-zhaabonigan, ashishawe-zhaabonigan"
ishkwanjige,animate intransitive verb,s/he leaves leftovers,"nagazh, nagadan"
maajaa,animate intransitive verb,"s/he leaves, goes off, departs",
booni',transitive animate verb,leave h/ alone; quit h/ Paired with:boonitoon,"boonitoon, booni', boonichigaazo, boonichigaade"
nagadan,transitive inanimate verb,"leave it behind; abandon, outstrip it Paired with:nagazh","nagazh, nagadan, ishkwandan, ishkwam"
zagaskwaajime,animate noun,"a leech, a bloodsucker See also:o","ozagaskwaajime, zagaskwaajime"
Gaa-zagaskwaajimekaag,place name,Leech Lake Reservation; Leech Lake,
namanjinik,inanimate noun,a left hand,
namanjii,animate intransitive verb,s/he is left-handed,
ishkwanjigan,inanimate noun,leftover food,
nikaad,dependent inanimate noun,my leg,
gashkidaasebizon,inanimate noun,a leg garter,
aadizookaan,animate noun,"a sacred story (a legend, a myth)a spirit See also:aadisookaan",aadisookaan
aas,inanimate noun,a legging,
awi',transitive animate verb,lend (it) to h/,
ako-,relative preverb,a certain length; as far as; as long as; since,"akoozi, akwaabikizi, akwaabikad, akwegizi, akwaakozi, akwaabiigizi, akootoon, akoo', akwegi'"
gidagimakakii,animate noun,a leopard frog,eshkam
eshkam,degree adverb,gradually; less and less; more and more,
maanoo,manner adverb,don't; don't care; let it be; never mind,
boonaanimad,inanimate intransitive verb,"the wind lets up, dies down",
ambe,interjection particle,attention!; come on!; let's go!,
mazina'igan,inanimate noun,"a book, a letter, a document, a paper",
desa'an,transitive inanimate verb,prop it up to be a level surface,
gwayakwaagamisijigan,inanimate noun,a level,
gagiinawishki,animate intransitive verb,s/he is a habitual liar,
agindaasoowigamig,inanimate noun,a library,
nandookome,animate intransitive verb,s/he searches for lice or ticks See also:andookome,"andookome, nandookome"
mazina'igaans,inanimate noun,"a small book or document: a ticket, a license","odaabii'iwe-mazina'igaans, odaabii'iwe-mazina'igan, wanii'ige-mazina'igaans, wanii'ige-mazina'igan"
nooskwaada'an,transitive inanimate verb,lick it Paired with:nooskwaada',"nooskwaada', nooskwaada'an"
baakaabowen,transitive animate verb,lift the cover or lid off it (animate) (something containing a liquid) Paired with:an,"baakaabowenan, baakaabowen, gibaabowe'an, gibaabowe'"
giiwanimo,animate intransitive verb,"s/he lies, deceives",
izhishin,animate intransitive verb,s/he lies a certain way Paired with:izhisin,"izhisin, izhishin, aazhawaakosin, aazhawaakoshin, bimaakosin, bimaakoshin, apisin, apishin, ishkwesin, ishkweshin, minosin, gwayakoshin, gwayakosin, bimaabiigishin, bimaabiigisin, animikosin, animikoshin, aazhigijisin, inaasamisin, inaasamishin, bikwaakwadoshin, bikwaakwadosin, dazhishin, dazhisin, minoshin, minosin, biitoosin, biitooshin, okosinoon, okoshinoog, gipagisin, gipagishin, bibagisin, bibagishin, zhegosin, zhegoshin, mizhishawisin, mizhishawishin, aanikoosin, aanikooshin, neshangishin, neshangisin, opimesin, opimeshin, ikosin, ikoshin, badagoshkaw, badagoshkan, niibidesinoon, niibideshinoog, neshangishin, neshangisin, zhingadesin, zhingadeshin, gwayakosin, gwayakoshin, gwayakwaakosin, gwayakwaakoshin, apiichisin, apiichishin, daangisin, daangishin, michisin, michishin, maazhisin, minoshin, gwekisin, gwekishin"
zhingishin,animate intransitive verb,"s/he lies down, goes to bed",
akamaw,transitive animate verb,"lie in wait for, ambush h/",
aanike-odaake-ogimaa,animate noun,a lieutent-governor; an assistant director,
bimaadiziwin,inanimate noun,life,nookaadad
ombin,transitive animate verb,"lift, raise h/ Paired with:an","ombinan, ombin, gashkinan, gashkin, ombiwizh, ombiwidoon, baakaabowenan, baakaabowen, omboondan, omboom, ombaabiiginan, ombaabiigin, ombaakwa'an, ombaakwa'"
waazakonenjigan,inanimate noun,"a lamp, a light",
zaka'an,transitive inanimate verb,"light, ignite it, set it on fire Paired with:zaka'","zaka', zaka'an, zakiz, zakizan"
waaseyaaban,inanimate intransitive verb,it is light at dawn,"waabizo, waabide, waabanagekwad, waabanagekozi"
naangan,inanimate intransitive verb,it is light (in weight) Paired with:naangizi,"naangizi, naangan, naangani, naangenim, naangendan"
waazakonenjiganaatig,inanimate noun,a light pole,
zaka'igan,inanimate noun,a lighter,
inaabiwin,inanimate noun,lightng,"baagijigaazo, baagijigaade"
minwenim,transitive animate verb,like h/ Paired with:minwendan,"minwendan, minwenim, minomaandan, minomaam, minopozh, minotaw, minotan, minwaabandan, minwaabam"
dibishkoo,manner adverb,"directly; equal; even; just like, seems like",
minwendaagozi,animate intransitive verb,"s/he is likeable, is agreeable, is fun Paired with:minwendaagwad","minwendaagwad, minwendaagozi"
neshangaa,inanimate intransitive verb,"it is limber, is slack Paired with:neshangizi","neshangizi, neshangaa"
neshangisin,inanimate intransitive verb,"it lies limp, lies slack Paired with:neshangishin","neshangishin, neshangisin"
maakise,animate intransitive verb,s/he limps,
beshaa,inanimate intransitive verb,"it has a line, has a stripe Paired with:beshizi",beshizi
biitoogwaajigan,inanimate noun,"something sewn in as a liner or ling or something with a liner or ling sewn in it: liner, ling, moccasin liner, quilt with ling",
inaabiiginigewinini,animate noun,a linesman,
mizay,animate noun,"a ling, an eelpout, a burbot, a mariah, a lawyer (fish)",gwendaaseg
gwendaaseg,inanimate participle,liniment,
mishibizhii,animate noun,"a lion, a panther an underwater panther See also:mishiibizhii","mishiibizhii, mishiibizhiw, mishiibizhii"
miskwiiwidoone,animate intransitive verb,s/he has bloody lips or mouth,"gagiipidoone, gagiipidoon"
miskodoonebii'on,inanimate noun,a lipstick,
inaagamin,inanimate intransitive verb,"it (a liquid) is a certain way, tastes a certain way",
giziibiiga'iganaaboo,inanimate noun,liquid soap; washwater See also:giziibiiga'iganaabo,"giziibiiga'iganaabo, giziibiiga'iganaaboo"
ishkodewaabo,inanimate noun,"alcohol (for drinking): liquor, spirits, whiskey See also:o","ishkodewaaboo, ishkodewaabo"
bizindam,class 2 animate intransitive verb,s/he listens,"bizindaw, bizindan, andotan, andotam, nandotaw, andotan, nandotan, andotaw"
agaasendan,transitive inanimate verb,"think little of it, think it insignificant Paired with:agaasenim","agaasenim, agaasendan"
bangii,quantitative adverb,a little; a little bit; few,
bangii,quantitative adverb,a little; a little bit; few,bangiiwagizi
ishkweninj,inanimate noun,a little finger,
ajina,temporal adverb,a little while,
naanoomaya,temporal adverb,a little while ago,
bimaadizi,animate intransitive verb,"s/he lives, is alive Paired with:bimaadad",bimaadad
babaamaadizi,animate intransitive verb,s/he lives about; s/he travels about,"anzhikewige, anzhikewabi, nazhikewabi, abiitaw"
nikon,dependent inanimate noun,my liver,
ondizi,animate intransitive verb,"s/he makes a living a certain way, earns or makes money, gets paid, benefits a certain way, inherits from a certain source",
abiiwigamig,inanimate noun,a living room,
onashkina',transitive animate verb,"pack, load h/ (e.g., a pipe) Paired with:onashkinadoon;onashkinatoon","onashkinadoon, onashkina', onashkinatoon, onashkina', onashkinadoon, boozitamaw, boozi'"
onzaamiwane,animate intransitive verb,s/he carries too much in h/ pack,
gashkaabika'igan,inanimate noun,a lock,
gashkaabika',transitive animate verb,lock h/ Paired with:an,"gashkaabika'an, gashkaabika'"
wiigiwaam,inanimate noun,"a wigwam, a lodge","madoodison, madoodiswan"
gibishkwaande'on,inanimate noun,a lodge door cover,
abanzh,inanimate noun,a lodge pole; a rafter,
gizhibaayaakowebishkigan,inanimate noun,a rolling log,
mitigo-waakaa'igan,inanimate noun,a log cabin,
bishagaakwa'igan,inanimate noun,a log peeler,
giishka'aakwewinini,animate noun,"a logger, a lumberjack",
gizhibaayaakowebishkige,animate intransitive verb,s/he does logrolling,
gashkendam,class 2 animate intransitive verb,"s/he is lonely, is lonesome, is sad",
ginwaa,inanimate intransitive verb,"it is long, is tall Paired with:ginoozi","ginoozi, gagaanooziwag, ginwaa, ginwaabikizi, ginwaabikad, ginwegizi, ginwegad, gagaanwaakwadoon, ginwaakozi, ginwaabiigizi, ginwaabiigad, ginwaakoonagad, ginoonagad, ginwaabiigad, genwaabiigigwed, ginwaabiigad, gagaanwegi', ginwaatoon, ginoo', akwaa, akoozi, akwaabikizi, akwaabikad, akwegizi, akwegad, akwaakwad, akwaakozi, akwaabiigizi, akwaabiigad, akootoon, akoo'"
mewinzha,temporal adverb,"a long time ago, long ago","gabeya'ii, gabaya'ii"
izhinaagwad,inanimate intransitive verb,it has a certain look or appearance Paired with:izhinaagozi,"izhinaagozi, minwaabandan, minwaabam"
izhinaagozi,animate intransitive verb,s/he has a certain look or appearance Paired with:izhinaagwad,"izhinaagwad, izhinaagozi, manginaagwad, manginaagozi, makadewinaagwad, makadewinaagozi, ozhaawashkonaagwad, ozhaawashkonaagozi, ozaawinaagwad, ozaawinaagozi, biininaagwad, biininaagozi, bakaaninaagwad, bakaaninaagozi, zanaginaagozi, wiininaagwad, wiininaagozi, wenipaninaagwad, wenipaninaagozi, mayaginaagwad, mayaginaagozi, minonaagozi, minwaabaminaagwad, minwaabaminaagozi, ozhaawashkonaagwad, ozhaawashkonaagozi, zanaginaagwad, zanaginaagozi, oshkiinaagozi, oshkiinaagwad, getenaagwad, getenaagozi, gidimaaginaagwad, gidimaaginaagozi, miskonaagwad, miskonaagozi, agaasinaagozi, agaasinaagwad, mayaginaagwad, mayaginaagozi, niinaminaagwad, niinaminaagozi, waabishkinaagwad, waabishkinaagozi, ozaawinaagwad, ozaawinaagozi, oshkiinaagwad, oshkiinaagozi, izhinaagotoon, izhinaago'"
ganawaabi,animate intransitive verb,"s/he looks, watches","nishkaabandan, nishkaabam, ganawaabandan, ganawaabam, giimaabam, giimaabandan, giimoozaabam, giimoozaabandan, aabanaabandan, aabanaabam, dapaabandan, dapaabandan, dapaabam"
dibaabam,transitive animate verb,"inspect, check up on h/ or it (animate), look h/ or it (animate) over Paired with:dibaabandan","dibaabandan, dibaabam"
nanda-,lexical preverb,look for; seek,"nandawaabandan, andawaabam, nandawaabam, nandone'an, andone', nandone', andone'an, andone'ige, andoobii, andawasimwe, nandokawe', andokawe', andawanokii, nandawanokii"
naasanaa,discourse particle,come on!; look out!,
inashke,discourse particle,look!,
mazinaabidoo'iganaatig,inanimate noun,a bead loom,
maang,animate noun,a loon,"aashimaang, maangogwan"
maangogwan,animate noun,a loon feather,
gidiskaabiigishkaa,inanimate intransitive verb,"it disconnects, comes off (as something string-like)","geshawisidoon, geshawishim"
geshawishkan,transitive inanimate verb,fit it loosely Paired with:geshawishkaw,"geshawishkaw, geshawishkan"
wani',transitive animate verb,"lose, miss h/ Paired with:wanitoon","wanitoon, wani', banaadenim, banaadendan"
wanisin,inanimate intransitive verb,"it is lost, gets lost Paired with:wanishin","wanishin, wanisin"
noomazhaan,inanimate noun,"something oily applied to the skin: skin cream, lotion, liment",
gizhiiwewidam,class 2 animate intransitive verb,"s/he sounds loud, sounds loud and clear",
ombiigwewe,animate intransitive verb,it (animate) is loud (in operation),
ikwa,animate noun,a louse,"andookome, nandookome"
zaagi'idiwin,inanimate noun,mutual love,
zaagi',transitive animate verb,"love, treasure h/ Paired with:zaagitoon","zaagitoon, zaagi'"
zhawenim,transitive animate verb,"bless, pity h/; show loving-kindess, unconditional love for h/; have mercy, compassion for h/",
dabasaa,inanimate intransitive verb,it is low,"dabazhiish, dabazhish, dabasagoojin, dabasagoode, dabasagoozh, dabasagoodoon, dabasendaagwad, dabasendaagozi, dabasenim, dabasendan"
mashkiigimin,inanimate noun,lowbush cranberry,mashkiigiminagaawanzh
mashkiigiminagaawanzh,inanimate noun,a lowbush cranberry bush,mashkiigiminaganzh
niisaabiiginan,transitive inanimate verb,lower it on a rope Paired with:niisaabiigin,"niisaabiigin, niisaabiiginan"
boozaabikinigan,inanimate noun,gun oil; lubricant for a machine or vehicle,
maazhise,animate intransitive verb,"s/he has things go wrong, has bad luck",minose
debizi,animate intransitive verb,"s/he is satisfied, has enough, is lucky",
nenawi',transitive animate verb,sing a lullaby to h/,
giishka'aakwewigamig,inanimate noun,a lumber camp,
giishka'aakwewinini,animate noun,"a logger, a lumberjack",
naawakwe-wiisini,animate intransitive verb,"s/he eats lunch, eats dinner (the noon meal)",
nawajii,animate intransitive verb,"s/he eats a light meal, takes a lunch break",
nipan,dependent inanimate noun,my lung,
wiiyaakwa'igan,inanimate noun,lure: an amal scent used in trapping,
giigoonyensikaan,animate noun,a fishing lure See also:giigoonhwensikaan,giigoonhwensikaan
ishkode-bingwiiwaaboo,inanimate noun,lye water,
niniishk,dependent animate noun,my gland (lymph node),
bizhiw,animate noun,a lynx,naabe-bizhiw
bizhiwayaan,animate noun,a lynx hide,
gichi-mookomaan,animate noun,a white person American See also:gichimookomaan,gichimookomaan
gashkigwaason,animate noun,a sewing machine See also:ni,"gashkigwaason, gashkigwaason"
nishkaadizi,animate intransitive verb,"s/he is angry, is mad","nishkenim, nishkendan"
giizhendam,class 2 animate intransitive verb,"s/he made a decision, is decided, is ready to act, has h/ mind made up",
ookwe,animate noun,maggot,
manidoo-biiwaabik,inanimate noun,"steel, a magnet",
naadazina'igane,animate intransitive verb,s/he goes to get mail,
mazina'iganiiwi-makak,inanimate noun,a mailbox,
boodawewinini,animate noun,a maintence engineer; a school custodian,
