lemma,ojibwe_sentence,english_sentence
mewinzha,Noomag igo ogii-tazhiikawaan ini asabiishan. Mewinzha daa-gii-kiizhiitaa.,He worked on the old net for a while. He should have been done a long time ago.
mewinzha,Mewinzha go imbi-gikenimaa endazhimad noongom.,I've known that person you're talking about today from way back.
mewinzha,Gichi-mewinzha gii-izhaayaambaan oodenaang.,It's been a long time since I've gone to town.
mewinzha,Mewinzha gii-kopibatoowag igiw abinoonjiiyag endawaabamadwaa.,The children you are looking for ran up from the lake long ago.
mewinzha,Mewinzha apane gaa'-waabamagiban nimisenh.,It's been a long time since I've seen my younger sister.
mewinzha,Mii 'iw gii-nagajibizoyin. Mewinzha omaa gii-pimibideg 'iw odaabaan.,You missed your ride. The bus went by here a long time ago.
izhinaagwad,Aaniish ezhinaagwak 'iw jiimaanish gaa-o-waabandaman.,How does that old boat look that you went and saw?
izhinaagwad,Mii 'i ezhinaagwak. Inashke!,That's how it looks. See!
izhinaagwad,Naasaab izhinaagwadoon iniw odaabaanan.,The cars looked the same.
izhinaagozi,Akiwenziiying izhinaagozi.,He looks like an old man.
izhinaagozi,Bebakaan igi mitigoog izhinaagoziwag.,The trees all look different.
izhinaagozi,Weweni go izhinaagozi a'aw atoobaan.,That radiator looks good.
ganawaabi,"Hay', mii niin gaawiin indawi-ganawaabisii iwidi waa-inakamigak; onzaam nibiigoshkaa.","Shoot, I will not be able to go watch what's going to go on because I am broke."
ganawaabi,Weweni imaa ganawaabin. Mii imaa ge-onji-gikendaman ge-izhichigeyan.,Watch very carefully now. That's how you're going to know what to do.
ganawaabi,Wii-kagwejikada'odim noongom gaa-giizhigak. Gidaa-gii'-awi-ganawaabimin gegiinawind.,There's going to be a canoe race today. We should go and watch.
dibaabam,Dibaabam odaabaanag jibwaa-azhebizoyan.,Check for cars before back out.
dibaabam,Eniwek sa go naa ingii-pi-dibaabamig.,At least he came and checked on me.
dibaabam,Odibaabamaan minik eyaawaad zhooniyaan.,She's checking how much money she has.
maang,Nitaa-googii maang.,A loon is good at diving.
maang,Maangwag ninoondawaag noondaagoziwaad.,I hear loons calling.
maang,Apane naa gaa-koogiiwaad igiweg maangwag genawaabamagwaaban,The loons I'd been watching dived.
wani,Gii-migoshkaadendam gaa-ako-wani'aad iniw ojiwaaman.,He's been really bothered since he lost his friend.
wani,Niswi ingii-wani'aanaanig... ingii-wani'aanaanig gwiiwizensag miigaading iwidi agaamakiing. Gii-aapidendiwag.,We lost three boys in the war abroad. They never came back.
wani,Odayan gaa-wani'aad ondademo.,He's crying because he lost his dog.
wani,Ogaajishimaan odoozhibii'iganaakwan. Miiwan iniwe ganabaj gaa-gii'-wani'imag.,She hid her pen. I think it's the one I lost.
gizhiiwewidam,Gizhiiwewidam medwe-nagamod.,You can hear whoever is singing loud and clear.
zaagi,Aapiji ozaagi'aan ookomisan.,She really loves her grandma.
mashkiigimin,Nimawinzonan mashkiigiminan.,I'm picking cranberries.
mashkiigimin,Naawashkiig mamaangiminagadoon mashkiigiminan.,The cranberries are bigger in the middle of the muskeg.
mashkiigimin,"Ningashkiigideg, giga-mikaamin mashkiigiminan.","If the snow is all melted on the muskeg, we'll find some cranberries."
niisaabiiginan,Michi-niisaabiiginan jiimaan; onzaam mamaangaadigose.,Just let the canoe down on a rope because the ruffles of the current are too big.
boozaabikinigan,Boozaabikinigan ginigawinan waasigani-bimideng.,Mix the oil into the gas.
maazhise,Aaniish igo naa gaa-wii-onaapinakiiyin iwidi ataagewigamigong. | Ingii-maazhise aana-gii-o-wiikobijigeyaan.,"How did you fare at the casino. | I had bad luck, I didn't win anything."
nenawi,Mbiibiiyensim ninenawi'aa.,I'm singing a lullaby to my baby.
giishka-aakwewinini,Debweweboojigewag giishka'aakwewinini.,I can hear the lumberjack sawing from a distance.
nawajii,Mii zhigwa gegaa naawakweg ji-nawajiiying.,It's almost noon so we'll eat.
nawajii,Niizhing ningii-pi-nawajiimin gii-bi-bimoseyaang.,We stopped twice to snack while walking here.
nawajii,"Gaa-izh-mitanitewang, giga-izhi-nawajiimin; giga-nitiikemin.",We'll make some lunch and some tea where the ground is bare of snow.
bizhiw,Ogidaagonag bimose bizhiw.,A lynx walks on top of the snow.
bizhiw,Bizhiw ningii-kimooji-wanii'igaag.,A lynx stole my trap.
nishkaadizi,"Indigo gii-nishkaadizi, initaagozi.",He sounds like he's mad.
nishkaadizi,Nishkaadizi awe akiwenzii. Mii miinawaa gii-niikimod.,That old man is mad. He just growled again.
nishkaadizi,Gii-nishkaadizi aana-gii-kaagiikaazomag.,He was angry when I counseled him.
giizhendam,Mii go 'i gii-kiizhendamowaad igi giigidoowininiwag waa-izhichigewaad.,The representatives already decided what they were going to do.
giizhendam,Mii na 'iw gii-kiizhendaman inagakeyaa waa-izhi-biinjwebinigeyan.,Have you decided how you are going to vote.
naadazina-igane,Niwii-naadazina'igane imaa mazina'iganiiwigamigong.,I'm going to go get the mail at the post office.
naadazina-igane,Onzaam gabaya'ii ogii-mazina'amaagoon gaa-onji-naadazina'iged.,The bill was way overdue and that's why he went after his debt.
mazina-iganiiwi-makak,Biinjwebinan imaa mazina'iganiiwi-makakong,Toss it in the mailbox.
ozhitoon,Gidaa-ozhitoon ina go agwaakwa'igan ge-aabajitooyaan.,Can you make that sign that I want to use?
ozhitoon,Ninitaa-ozhitoon anishinaabe-ziinzibaakwad.,I know how to make maple sugar.
ozhitoon,Jiigishkode nindagoonaa a'aw akik ozhitooyaan naboob.,I hang the kettle close to the fire when I make soup.
ozhitoon,Gagwe-minotoon iwe zhiiwaagamizigan wezhitooyin.,Try and make the syrup you're making good.
ozhitoon,Ozhitoon gibashkweginwekizinan jibwaa-maajii-niimi'iding.,Make your moccasins before the powwow season starts.
izhi,Ingii-ig ji-ikosidooyaan i'iwe makak.,He told me to move that box out of the way.
izhi,"""Gichi-minomaagwadoon ini waabigwaniin gaa-piidamawiyin,"" odinaan iniw onaabeman a'a ikwe.","Those flowers you brought me smell good,"" the woman told her husband."
izhi,Izhi ji-giiwed.,Tell him to go home.
izhi,Giinitamawind gidigoomin ji-gaagiigidoyang.,They're telling us it's our turn to talk.
izhi,Aaniin gaa'-igooyan gaa'-onji-ishkwaataayan gidanokiiwin.,What did they say to you to make you quit your job?
ininishib,Awegwen igo odaa-noondawaan aandi eyaanid ininishiban gaa-initaagozid.,Anyone can tell it's a mallard duck by its sound.
inini,Bedowe gaagiigidod a'awe inini.,That man speaks softly when he talks.
gashki,Wenipazh apane ogashki'aan zhooniyaan.,She is always able to make good money.
gashki,Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.,He's not able to drive a car anymore because he can't see very well.
gashki,Ogii-kashki'aan iniwen odikweman ji-wiijiiwigod iwidi zagaswe'iding ji-izhaawaad.,He was able to get his wife to accompany him to the meeting.
niibiwa,Niibiwa na giin gidayaan waasigani-bimide.,Do you have a lot of gas?
niibiwa,Niibiwa diba'amawaa gaa-gikinoo'amaaged.,The teacher makes a lot of money.
akii-mazina-igan,Akii-mazina'igan nindaabajitoon wii-izhaayaan Wabaashiing.,I use a map when I go to Ponemah.
anishinaabe-ziinzibaakwad,"Mii go ge gaa-izhi-wiindang 'i ziinzibaakwad, anishinaabe-ziinzibaakwad.","And she [my mother] called maple sugar ""Indian sugar."""
anishinaabe-ziinzibaakwad,Nimaamaa ko ogii-aabajitoon i'iw wiigwaasi-makak gii-... gii-atood iwe anishinaabe-ziinzibaakwad.,My mother used to use a birch bark basket when she put away the maple sugar.
anishinaabe-ziinzibaakwad,Ninitaa-ozhitoon anishinaabe-ziinzibaakwad.,I know how to make maple sugar.
nemaab,Gidaa-agimaag igiweg nemaabiinsag.,You should count the marbles.
nemaab,Odasigishimaan onemaabiinsiman.,He's putting his marbles together.
wiidigem,Gaawiin ganabaj indaa-debwetawaasii gaa-gii-kagwejimid wii'-wiidigemid.,I probably won't marry that guy that asked me to marry him.
waabizheshi,Zhaabonigan obimiwidoon waabizheshi.,The marten carries a needle.
waabizheshi,Babaamikawe imaa waabizheshi.,A marten left tracks going around there.
waabizheshi,"Naanan ningii-piinaag waabizheshiwag. Zhebaa dash gakina ningii-pakonaag, miinawaa ningii-shiiba'waag.",I brought back five martens. This morning I skinned all of them and put them on stretchers.
zinigojiibizh,Zinigojiibizh giday. Andookomaazh.,Rub your dog's belly. Check it for bugs.
anaakan,Biindigeyaan ningiziizide'odiz imaa anaakaning.,"When I come in, I wipe my feet on the rug."
apishimon,Indaga biindigadoon apishimonan.,Bring in the mattresses.
apishimon,Nindatoon iwe apishimon imaa n... michisag wii-nibaayaan.,I'm putting the mattress on the floor to sleep on.
apishimon,Maamaagojiishkan boodaajii'igan wii-poodaajii'aman gidapishimon.,Use the foot pump to inflate your air mattress.
ganabaj,Aapiji ingii-mashkawinig. Ganabaj gii-gotaaji.,He hung on to me tight. I think he was scared.
ganabaj,Ganabaj aanjigondaagane awe wenji-maanitaagozid.,I think his voice in changing and that's why he doesn't sound right.
ganabaj,Gaawiin ganabaj odaa-gashkitoosiin ji-bawishkang manoomin.,I don’t think he’s able to do the dancing on the rice.
niin,Gegaa gii-pizikawaa anishaa go niin gaa-ikowebinag.,She would have been almost run over if it hadn't been for me pushing her out of the way.
niin,Ingii-wiisin niin zhigwa. Giin dash.,I already ate. Did you?
niin,Gaye niin ningii-noonde-nibaa.,I was sleepy too.
niin,Ningii-wiijiiwaanaan nimaamaayinaan gii-mawinzoyaang. Niin dash ningii-ni-gagiiginaanan iniw miinan memaangiminagakin.,We went with our mother blueberry picking and I picked the biggest ones.
niin,Niin ina gidanaamim. Gaawiin gosha niin 'omaa ningii'-ayaasii dibikong.,Are you blaming me? I wasn't even here last night.
jiigashkosiw,"Mii iwidi gaa-o-dazhi-agoodood, jiigashkosiw.","That's where he goes and hangs snares, by the meadow."
ganage,"Giishpin ganage bebangii diba'amawid endaso-giizis, maagizhaa ingoding indaa-gii-izhi-diba'amaag.","Even if she only pays me a little bit each month, maybe some day I'll get paid off."
wiiyaas,Gaawiin wiiyaas ninitaa-miijisiin.,I don't eat meat.
wiiyaas,Gii-nookide i'iw wiiyaas.,The meat was cooked tender.
wiiyaas,Agokadoon 'i wiiyaas imaa abwaanaakong.,Stick the meat on the spit.
wiiyaas,Weweni ogii-webizhaan 'i wiinin imaa wiiyaasing.,He carefully cut the fat away from the meat.
wiiyaas,Niwii'-mashkawaakwajidoon wiiyaas gaa-gii'-miinigooyaan.,I'm going to freeze the meat I got.
mashkiki,"Giishpin dewikweshkid, gego miinaaken omashkikiim.","If he's always got a headache, don't give him his medicine."
mashkiki,Omoona'aan mashkiki.,She digs up medicine.
mashkiki,Ningiiwashkweshkaagonan; onzaam mashkawaawan mashkikiwan gaa-gii'-miinigooyaan.,The pills I was given made me dizzy because they are too strong.
nagishkan,"Mii 'i gii nagishkang ""zagaakwaa"" gii-idaming","He met ""hard times"" in his life, as we say it."
zagaswe-idiwag,Gii-ondamanokii ji-gii-izhaapan endazhi-zagaswe'iding.,He was too busy to attend the council meeting.
zagaswe-idiwag,Megwaa zagaswe'idiwag.,They are in session. {of council members]
zagaswe-idiwag,"Apenimon gidasemaa, gegoo anoonigooyin ji-wiijitwaayin zagaswe'iding.",Rely on your tobacco when you are asked to help at a ceremony.
dibendaagozi,Mii imaa dibendaagoziyaan dewe'iganing niniigaani-niimi'iwewininiw.,"I belong on that drum, I am the head-singer."
mikom,Baapi'idiwag dazhimaawaad ogete-wiinimoshenyiwaan. Daabida iniwe gaa-mikomaawaad.,They laugh together when they mention an old sweetheart of theirs. They're talking about the same guy!
mikom,Ogii-mikomaan iniw ogete-wiiwan.,He talked about his ex-wife.
anzig,Anzig nitaa-noojigiigoowensiwe.,The merganser is a good fisher for minnows.
biiwaabik,Nawaj gozigwan iwe ashkikomaan apiich idash iwe biiwaabik.,Lead is heavier than iron.
biiwaabik,Miskwaabikide iwe biiwaabik.,That piece of iron is red hot.
biiwaabik,Azhiwaasin moozhwaagan giishpin giishkizhaman biiwaabik maagizhaa ge mazina'igan.,Scissors get dull if you cut metal or paper.
midewigaan,Mii 'i zhigwa giizhigaadamowaad iwe midewigaan wezhitoowaad.,They are completing the medicine lodge.
miigis,Gii-odaapinigaazo awe miigis omaa gaa-pimi-abid.,Somebody picked up that shell that was lying here.
aabita-biboon,"Bagamaajimo: ""Wii'-niimi'idiwag anishinaabeg aabita-biboong.""","He arrived with news. ""The Anishinaabeg will be having a mid-winter powow."""
aabita-biboon,Mii ko 'i apii gaa-wiindeg gii-onjiindiwi-giizhigak aabita-biboong.,"They used to call the New Years the ""kissing day""."
giiwe-biboon,"Gii-ani-giiwe-biboong biniwinewag waawaashkeshiwag, gaye moozoog.",The deer and the moose lose their antlers past midwinter.
daa,Wiinaabikadoon gidoonaaganan. Gidaa-giziibiiginaanan.,Your dishes are dirty. You should wash them.
daa,Migoos gidaa-aabajitoon ji-bagone'aman.,You can use  an awl to make a hole in something.
daa,Onzaam gichi-michaabiigad 'i biiminakwaan. Gaawiin gidaa-aabajitoosiimin.,That rope is too big. We can't use it.
daa,Gidaa-gagwe-minjimapidoonan ini mashkosiwan jibwaa-maajiidooying.,"Before we take that hay out of here, you'd better tie it down good."
daa,Maagizhaa awiya gidaa-wiidookawaa.,Maybe you can help somebody.
daa,Gidaa-bi-giziisaginamaw ina?,Would you come and wash my floor for me?
aabawaa,Wii-aabawaamagad iidog waabang.,It's going to be warm tomorrow.
aabawaa,Zhaawanong gii-ondaanimak wii'-aabawaa.,"When the wind blows from the south, it will be warmer."
aabawaa,Gonige aabawaadog.,I wonder if it's warm out.
aabawaa,Giishpin ozhaawishkwakoneg ishkode gii-biboong wii'-aabawaa.,"If you see blue flames in the fire in the winter, the warm weather is coming."
doodooshaabo,Doodooshaabo na giwii-tagonaan.,Will you add milk?
biisiboojigan,Biisiboojiganing niwii'-anokii biboong.,I want to work in the sawmill this winter.
maji-izhiwebizi,Zhawendaagozi awe indikwaa aana-maji-izhiwebizid.,My in-law is loveable although he's crabby.
wanishim,Niwanishimaa nindibe'igiiziswaanens.,I misplaced my watch.
wanishim,Niibowa go igiw abinoojiinyag wanishimaawag memindwaa omaa ishkoniganing ingoji asindwaa.,There are a lot of children that are lost when they are removed from this reservation and placed somewhere else (in foster homes).
wanigiizhwe,"Gego baapi'aaken wanigiizhwed. Baamaa wiinitam baapid, giga-oko-baapimin.",Don't laugh if she makes a mistake (in speaking) unless she laughs first and then we 'll all laugh together.
gwiinawenim,Ometasinaan iniw ogozisan. Mii go bijiinag gwiinawenimaad.,He's wondering where his son is. He just now missed him.
bichi,Ogii-bichi-ziigwebinaan doodooshaaboo.,He accidentally spilled the milk.
bichi,Nimbichi-baasa'aan i'iw waasechigan.,I accidentally broke the window.
bichi,Ogii-pichi-nisidawinawaan. Maagizhaa wiijikiwenyan gii-inendam.,He mistook somebody. He thought maybe it was his brother.
awanibiisaa,Awanibisaamagad agwajiing.,It's misty outside.
awanibiisaa,Indaga biindigadoon ini gigiziibiiga'igewinan. Mii zhigwa maajii-awanibiisaag.,Take in your laundry. It's starting to mist now.
minjikaawan,Gidaa-ozhitamaw ina minjikaawanag.,Can you make me some mitts?
minjikaawan,Ganabaj a'aw minjikaawan gii-kashkigwaazodog.,I think that that mitt was sewn.
minjikaawan,Onzaam agaasiigiziwag niminjikaawanag. Ningii-kiikajininjiiwaj gii-gigishkawagwaa.,My mitts are too small and tight. My hands got cold when I wore them.
minjikaawan,Aaniin enigokwegiziwaad giminjikaawanag.,What size are your mittens?
makizin,Makadewaawan nimakizinan.,My shoes are black.
makizin,Anaami-adoopowinaakong ateniwan omakizinan.,"His shoes are under the table,"
makizin,Gii-bapagoshkaa i'iw makizin gaa-bapagwa'ang.,There were many holes in the tire he patched up
makizin,Gii-madwewe i'iw makizhinish.,The old tire had a blow-out.
makizin,Aaniin iniwe makizinan gaa'-onaabandaman.,Which moccasins did you choose?
makizinataadiwag,Mii 'iw gii-tazhwegiwebiniged 'awe gaa-pi-mawine'ond. Wii-makizinataadiwag.,The one they came to challenge spread out his mat. They're going to have a moccasin game.
makizinataadiwag,Ingii-kabenaagoomin makizinataading.,We got beat at the moccasin game.
makizinataadiwag,Aaniin enataadiwaad? / Ganabaj makizinataadiwag.,What are they playing? / I think they are playing the moccasin game.
naabinootaw,Naabinootawishin.,Repeat what I say!
naabinootaw,Ogii-nishki'aan iniw oosan gii-naabinootawaad.,He got his father mad for repeating what he said.
onadin,Weweni ogii-onadinaan iniw bakwezhiganan jibwaa-biindaabikinaad.,He kneaded and shaped the biscuits before he put them in the oven.
onadin,Bijiinag gigizheb ninga-onadinaa awe bakwezhigan.,I'll knead the bread in the morning.
onadin,Mii go aanawi gii-ombishkaad awe bakwezhigan gaa-onadinag.,The dough that I kneaded rose [contrary to expectation].
agwaagoshi,Gichi-agwaagoshi awe giboziganish. Indaga owi-webin.,That old bread is moldy. Go throw it away.
zhooniyaa,Daga miizhishin zhooniyaa.,Please give me some money.
zhooniyaa,Anaamaabik ogii-izhi-gaanaan ozhooniyaaman.,He hid his money under a rock.
zhooniyaa,Gii-piimendam gaa-ina'oonindwaa ini zhooniyaan.,He was disatisified with the distribution of funds.
zhooniyaa,Zhooniyaan ningii-pi-izhinizha'amaag ningozis.,My son sent me some money.
zhooniyaa-makak,Weweni ganawendaagwad iwe zhooniyaa-makakoons etemagak.,They're keeping an eye on that cash box sitting there.
giizis,Aakwaasige 'aw giizis.,The sun is real bright.
giizis,Aabitawaabikizi 'aw giizis.,There is a half moon.
giizis,Bangishimo 'aw giizis.,The sun is setting.
giizis,Gizhaasige awe giizis.,The sun is hot.
dibiki-giizis,"Aabitawaabik inagoojin aw dibiki-giizis,",The moon is a half-moon.
dibiki-giizis,Gichi-bagakaasige awe dibiki-giizis aana-aabitawaabikizid.,The moon is really bright even though it's a half-moon.
dibiki-giizis,Oshkagoojin 'aw dibiki-giizis.,There is a new moon.
dibiki-giizis,Maamakaadendam gaa-apiitaasigenid ini dibiki-giizisoon dibikong.,He was amazed at how bright the moon was last night.
dibiki-giizis,Gichi-michaabikizi awe dibiki-giizis egoojing.,The current moon is really full.
giizhigaate,Aapiji mino-dibikad. Mii go wenda-giizhigaateg.,It's a very nice night. The moonlight is bright.
mooz,Mooz omawinadaan waasakonenjiganens.,A moose is charging the light.
mooz,Naawi-ziibi dananjige a'aw mooz.,The moose is eating in the middle of the river.
mooz,Nising aazha ningii'-nisaag moozoog.,I've already got moose three times.
mooz,Mooz ningii'-waabamaa bimi-aazhawa'adood.,I saw a moose crossing the road.
nawaj,Gegaa go gaawiin ninisidawinawaasii awe niitaawis. Nawaj noongom bakade.,I almost didn't recognize my cousin. He's a lot thinner now.
nawaj,Bezhig nawaj zhaangaso minik midaaswi.,One and nine makes ten.
nawaj,Nawaj gozigwan iwe ashkikomaan apiich idash iwe biiwaabik.,Lead is heavier than iron.
nawaj,Jiigitawag gidaa-ganoonaa. Nawaj igo gagiibishe,You'll have to talk close to his ear. He's getting deafer.
nawaj,Nawaj bekaa ikidon.,Say it slower.
nawaj,Mangitoon nawaj i' ishkwaandem imaa ataasoowigamigong.,Make the door on that shed bigger.
nawaj,Nawaj gaanda'amiidaa. Giga-nagajibizomin ishkodewidaabaan.,Let's walk a little faster. We'll miss the train.
gigizhebaawagad,"Giiyaabi go gigizhebaawagad. ""Maagizhaa gii-ishkwaa-naawakwe,"" indinendam.",It's still morning. I thought maybe it was afternoon.
zagime,Biinjitawag gii-piindoodewan iniwen zagimen.,The mosquito crawled in his ear.
zagime,Gego gabeya'ii zheyaakonangen ishkwaandem. Da-biindigesewag zagimeg.,Don't leave the door open too long. The mosquitos will get in.
aasaakamig,Agawaateyaabikaang izhi-agoke aasaakamig. Mii 'imaa wenji-gikendaman aandi nake giiwedinong.,Moss grows on the shady side of rock. That's where you can learn which way is north.
nimaamaa,Geyaabi jiibaakwe nimaamaa.,My mother is still cooking.
nimaamaa,Nimaamaa ko ngii-wiiji'aa gii-paasang waawaashkeshiwi-wiiyaas.,I used to help my mother when she dried deer meat.
akikoons,Gaawiin bimibizosii ndakikoonsim.,My motor isn't running.
akikoons,Giwii-adaawange ina akikoons.,Do you want to borrow a motor.
akikoons,Wiineta owenipazhi'aan maajiibizoni'aad ini akikoonsan.,He's the only one who knows how to start the outboard motor.
bagidenim,Obagidenimaan odaabaanan; onzaam gaawiin waabisii geyaabi ji-bimibizod.,He's giving up his car because he doesn't see well enough anymore to drive.
waawaabiganoojiinh,Anaamisag dazhewag waawaabiganoojiinyag.,Mice nest under the floor.
waawaabiganoojiinh,Waawaabiganoojiinyan naa oniimamaan a'a gaazhagenzhish,That old cat has got a mouse in her mouth.
gozi,Agaaming wii-izhi-goziwag.,They're going to move across the lake.
gozi,Gego indawaaj gozisiidaa.,Let's not move after all.
niibiwa,Niibiwa na giin gidayaan waasigani-bimide.,Do you have a lot of gas?
niibiwa,Niibiwa diba'amawaa gaa-gikinoo'amaaged.,The teacher makes a lot of money.
azhashki,A'aw abinoojiinh gii-pimose imaa azhashkiing ezhi-wiinizided.,That kid walked through the mud and his feet got dirty.
azhashki,"Azhashkiikaang gii-ishkwaa-gimiwang, mii imaa niin ako waabamagwaa.",I usually see them (worms) in the mud when the rain is over.
gidochigan,Noondaagomotoon gidochigan.,Play the radio!. = Turn on the radio.
mashkiig,Gii-sanagiziwag gii-aayaazhawishkaawaad imaa mashkiigokaang.,They had a tough time crossing the swamp.
wazhashkwayaan,Gii-piniwebaashi niwazhashkwayaan gaa-gii'-agoonag.,The muskrat pelt of mine I hung up got blown down
daa,Wiinaabikadoon gidoonaaganan. Gidaa-giziibiiginaanan.,Your dishes are dirty. You should wash them.
daa,Migoos gidaa-aabajitoon ji-bagone'aman.,You can use  an awl to make a hole in something.
daa,Onzaam gichi-michaabiigad 'i biiminakwaan. Gaawiin gidaa-aabajitoosiimin.,That rope is too big. We can't use it.
daa,Gidaa-gagwe-minjimapidoonan ini mashkosiwan jibwaa-maajiidooying.,"Before we take that hay out of here, you'd better tie it down good."
daa,Maagizhaa awiya gidaa-wiidookawaa.,Maybe you can help somebody.
daa,Gidaa-bi-giziisaginamaw ina?,Would you come and wash my floor for me?
iidog,Aabiding iidog gii-pabimose 'aw mindimooyenh imaa miikanaang.,Once upon a time there was an old lady walking along on the road.
iidog,Dibi iidog. Ingoji go atedog.,I don't know where it is. It must be here somewhere.
iidog,Baanimaa iidog wii-izhaawag oodenaang indaanis miinawaa onaabeman.,Later my daughter and her husband are going to town.
iidog,Aaniin epiitenimad awe eshpabid. | Namanj iidog onzaam wayiiba.,How do you regard the chairman? I don't know...it's too early to tell.
aadizookaan,Aaniish inaa akawe ninga-gaagiizomaag aadizookaanag.,"Well, first I honor the spirits."
izhinikaazowin,Weweni obimiwidoon odizhinikaazowin.,He carries his name well.
wiindaawaso,Wiindaawaso a'aw akiwenzii.,That old man is naming a child.
wiindaawaso,Ninandomigoo endazhi-wiindaawasong.,I'm invited to the naming ceremony.
dibaajimowin,Ninaabinootaan owe dibaajimowin. Gaawiin niin nindoodaya'iimisiin.,I'm passing on this story. It's not my own.
gagiibaadizi,Giiwaaj isa go naa gichi-gagiibaadizi a'aw akiwenziiyish. Ogii-piinaada'aan odoonaagan,That old man is really silly. He licked his plate clean!
gagiibaadizi,Apiichi-gagiibaadizi gaa-onji-gibaakwa'ond.,He's in jail because he's so foolish.
besho,Besho imaa ayaa awe animosh.,That dog is there close by.
besho,Besho omaa daawag igi anishinaabeg.,The Natives live close by.
besho,Awashishkode namadabi a'aw akiwenzii. Onzaam gizhideni besho namadabid.,"The old man sits far away from the fire. If he sits close, it's too hot for him."
besho,Onzaam besho jiigishkode gigii-atoon.,You put it too close to the fire.
besho,Besho odoonzaabandaan.,He's looking at it from nearby.
besho,Eshkam igo besho bi-naagozi.,She's coming closer.
besho,Besho ningii'-izhi-ando-wiisin bijiinaago.,I went just a little ways to eat yesterday.
besho,Besho imaa ayaa awe animosh.,That dog is there close by.
besho,Besho omaa daawag igi anishinaabeg.,The Natives live close by.
besho,Awashishkode namadabi a'aw akiwenzii. Onzaam gizhideni besho namadabid.,"The old man sits far away from the fire. If he sits close, it's too hot for him."
besho,Onzaam besho jiigishkode gigii-atoon.,You put it too close to the fire.
besho,Besho odoonzaabandaan.,He's looking at it from nearby.
besho,Eshkam igo besho bi-naagozi.,She's coming closer.
besho,Besho ningii'-izhi-ando-wiisin bijiinaago.,I went just a little ways to eat yesterday.
jiigaakwaa,Mii iwidi gii-waabamag waawaashkeshi jiigaakwaa.,"That's there I saw the deer, near the woods."
gegaa,Bagidinisen. Gegaa go ani-dakate.,Put some wood on the fire. It's just about getting cold in here.
gegaa,Gegaa ingii-bichi-nisidawinawaa awe ikwe. Bakaanizi ingwana.,I almost mistook that woman for someone else. It turns it was somebody different.
gegaa,Ambe daga da-agwaataawag igiw abinoonjiinyag. Mii go gegaa gabe-ishkwaa-naawakwe zaagagwamowaad imaa nibiikaang.,Get those kids out of the water. They've been in the water almost all afternoon.
gegaa,Gegaa indoozhaazhishin imaa ani-zaaga'amaan.,I almost slipped when I went outside.
booch,Gaawesa. Booch igo indaa-izhaasiin.,I really can't go.
booch,Gidaana-gii-onji'in booch igo gii-izhichigeyan.,You went right ahead and did it even after I told you not to.
booch,Booch igo gii-ni-maajaad nishiime.,My sister left anyway.
booch,Booch igo ingii-kashkitoon aana-gii-gichi-zanagak owe gaa-inanoonigooyaan.,"I accomplished the task I was assigned anyway, even though it was hard."
booch,Booch igo niwii-izhaa oodenaang wii-maa'ishkamaan,I'm going to town anyway to shop.
booch,Booch igo wiisiniyaan aana-bakadesiwaan.,I still eat even though I'm not hungry.
booch,Booch igo gii-izhichigeyan gii-onji'inaan,You went right ahead and did it when I told you not to.
nikwegan,Niwiisagendam nikwegan.,My neck hurts me.
andawendam,Ninandawendam ji-bimosemagak anishinaabemowin.,I hope the Native language will carry on.
andawendam,Andawendam ji-miinind zhooniyaan waa'-awi'aazod imaa zhooniyaawigamigong.,He's wishing his loan would go through at the bank.
zhaabonigan,"Gii-naabidoo'amaan i'iw zhaabonigan, ningii-kashka'oonaa a'aw asabaabiins.","When I threaded the needle, I tied the thread off."
zhaabonigan,Gagwaadagizi 'a mindimooyenh gagwe-naabidoo'ang iwe zhaabonigan.,The old lady was having a hard time trying to thread the needle.
zhaabonigan,Aaniin enaabadak o'owe zhaabonigan. / Mii owe ayaabajitoowaan gii-zhingibinagwaa amikwayaanag.,What is this needle used for? / This is the one I use for putting beaver hides on hoops.
asab,Biindoonag abiwag igiw asabiig.,The nets are in the boat.
asab,Aayaanikoobiwag midaaso ingiw indasabiig.,My ten nets were sitting there one after another.
asab,Anaamikwam bimi-inabi a'aw asab.,The net is in place running along under the ice.
asab,Gidaa-bakinaa gidasab ji-baaswad.,You should pull up your net to dry it.
asab,Onaazibiiwinaan odasabiin waa'-ando-bagida'waad.,She's taking her net down to the lake to set it.
zhinoodaagan,Gii-mashkawaabiigad i'iw zhinoodaagan gaa-aabajichigaadeg gii-dakobinind a'aw asab.,The cord they used to tie the net was strong.
aabita-biboon,"Bagamaajimo: ""Wii'-niimi'idiwag anishinaabeg aabita-biboong.""","He arrived with news. ""The Anishinaabeg will be having a mid-winter powow."""
aabita-biboon,Mii ko 'i apii gaa-wiindeg gii-onjiindiwi-giizhigak aabita-biboong.,"They used to call the New Years the ""kissing day""."
oshkabinoojiinh,Owiipemaan odooshkabinoojiiyensiman.,She sleeps with her new-born baby.
wiinitam,Wiinitam iidog wii-kaagiigido.,He wants to speak first.
wiinitam,Wiinitam da-wiisini gookomisinaan.,Let grandma eat first.
wiinitam,Wiinitam wii-pimibatoo.,It's his turn to run.
wiinitam,Wiinitam gii'-maajitaa.,He started doing it first!
